Price,temp
8.738,-2.7
11.712,-3
8.284,-3.1
5.64,-3
3.98,-3.3
3.396,-3.1
3.201,-3.2
3.111,-3.2
3.101,-3.7
3.061,-4.1
3.065,-4.4
3.068,-4.5
3.112,-5
3.267,-5.5
3.834,-5.7
4.824,-6
4.931,-6.1
4.225,-5.3
4.175,-4.6
3.826,-4.3
3.828,-3.5
3.829,-3
3.839,-1.8
4.343,-0.5
3.897,-0.5
3.836,-0.3
3.835,-0.3
3.135,-0.1
3.076,0.1
3.056,0.2
3.008,0.3
2.971,0.5
2.901,0.7
2.858,0.9
2.845,1.1
2.854,1.1
2.913,1.2
3.201,1.2
3.819,1.1
4.667,0.9
4.268,1
3.746,1.2
3.496,1.3
3.435,1.5
3.425,1.7
3.215,1.8
3.212,2
3.307,1.9
3.253,1.8
3.195,1.8
3.295,1.7
2.982,1.9
2.931,2.1
2.927,2.1
2.908,2.1
2.724,2.1
2.589,2
2.73,1.7
2.714,1.6
2.742,1.6
2.835,1.6
2.911,1.6
3.264,1.6
3.425,1.7
3.2,1.8
3.128,1.8
3.052,1.7
2.982,1.5
2.965,1.3
2.957,1.5
2.953,1.7
3.042,1.9
3.139,1.9
3.064,2.1
3.012,1.9
2.953,2.2
2.887,2.3
2.879,2.6
2.874,2.3
2.841,1.8
2.723,1.3
2.726,0.6
2.711,0
2.734,-0.5
2.79,-0.7
2.853,-0.9
3.668,-1.3
3.843,-1.1
3.786,-0.9
3.692,-0.6
3.392,0
3.331,0.2
3.417,0.3
3.393,0.2
3.387,0.4
4.404,0.5
3.849,0.5
3.847,0.5
3.622,0.5
2.89,0.8
2.836,0.7
2.828,0.1
2.811,-0.4
2.769,-0.8
2.764,-1.3
2.715,-1.7
2.69,-1.8
2.693,-1.9
2.722,-1.7
2.774,-2
2.777,-1.9
2.824,-1.7
2.88,-1.4
2.917,-0.9
2.952,-0.3
2.951,0.4
2.929,0.6
2.909,0.6
2.906,-0.1
2.951,-0.6
2.99,-1
3.094,-1.5
3.036,-1.6
2.982,-1.7
2.931,-1.7
2.897,-0.5
2.854,0.2
2.813,0.7
2.857,1.6
2.808,1
2.778,0.9
2.771,0.9
2.775,0.8
2.802,1
2.805,0.9
2.844,0.9
2.875,1.1
2.929,1.8
2.96,2.6
2.959,3.2
2.953,3.2
2.952,3
2.952,2.7
2.962,2.4
2.998,2.1
3.07,1.6
3.053,1
2.995,0.7
2.965,0.3
2.953,0
2.904,-0.4
2.805,-0.4
2.816,-0.3
2.692,-0.1
2.635,-0.2
2.713,-0.3
2.844,-0.4
3.163,-0.3
3.848,-0.1
4.832,0.1
4.447,0.2
4.199,0.4
3.845,0.3
3.846,1
3.842,0.8
3.841,0.8
3.992,0.9
4.507,0.8
4.505,0.9
3.991,1.1
3.844,1.3
2.991,1.2
2.955,0.3
2.935,-0.1
2.885,-0.1
2.845,0.1
2.904,0.2
2.893,-0.2
2.893,0.1
2.903,-0.2
2.953,0.4
2.971,0.2
4.37,0.3
6.105,0.2
4.92,0
4.887,-0.4
4.802,-1.1
4.593,-1.2
4.092,-1.3
4.048,-1.6
4.696,-2.2
6.106,-2.7
6.892,-3.4
7.442,-4.1
6.495,-4.7
3.399,-5.3
3.034,-6.1
2.991,-6.6
2.908,-6.6
2.858,-6.3
2.884,-5.9
2.847,-5.8
2.818,-5.7
2.819,-5.6
2.882,-4.9
3.052,-3.8
3.909,-3.4
4.554,-3.3
3.903,-3.2
3.728,-3.2
3.766,-3.1
3.39,-3
3.408,-2.9
3.199,-2.6
3.142,-2.3
3.582,-2
3.553,-2.2
3.37,-2.2
3.678,-2
2.989,-1.7
2.919,-1.3
2.893,-1
2.822,-0.5
2.737,0
2.61,0
2.552,0.9
2.532,1
2.537,1.2
2.746,1.7
2.835,2.3
3.008,2.5
3.902,2.7
3.219,2.7
3.186,2.8
3.225,3
3.292,3.3
3.16,3.4
3.292,3.4
3.689,3.3
4.424,3.3
4.823,3.2
4.826,3.1
4.429,3.1
3.101,3.1
2.996,2.6
2.981,2.2
2.921,2.1
2.883,1.8
2.852,2
2.813,1.9
2.807,1.6
2.83,1.2
2.869,1.1
2.958,1
3.459,1
4.509,0.5
4.626,0.6
4.504,2.1
4.459,3.4
4.098,4.2
3.787,4.7
3.325,4.4
3.298,2.9
4.131,2.5
3.786,1.7
3.696,1
3.783,0.2
3.108,-0.1
3.007,-0.4
2.988,0.4
2.953,0.1
2.889,0.3
2.884,-0.1
2.847,-0.2
2.825,0.5
2.814,-0.1
2.818,0.2
2.842,0.5
2.867,0.8
2.891,1
2.935,1.1
2.971,1.3
2.989,1.5
2.989,1.6
2.987,1.6
2.975,1.7
2.965,1.7
2.989,1.5
3.063,1.9
3.149,2
3.097,1.8
3.018,1.6
2.975,1.5
2.955,1.2
2.908,1.3
2.872,1.2
2.882,1.1
2.822,1.1
2.787,1.1
2.772,1.2
2.768,1.3
2.779,1.4
2.776,1.4
2.802,1.3
2.86,1
2.89,0.7
2.934,0.8
2.923,0.8
2.893,0.8
2.887,0.7
2.885,0.6
2.897,0.7
2.955,0.6
2.993,0
2.982,0.4
2.943,0.9
2.897,0.8
2.885,0.9
2.862,0.9
2.811,0.7
2.732,0.6
2.746,0.7
2.739,0.4
2.8,0.5
2.873,0.5
2.971,0.6
3.103,0.7
3.338,0.7
3.471,0.5
3.318,1.2
3.39,1
3.46,1.8
3.415,2.2
3.41,2
3.246,2.1
3.49,2.3
4.093,2.2
4.537,2.2
3.788,2.2
3.217,2.3
3.121,2.3
3.058,2.1
3.01,2.2
2.962,2.1
2.878,2.1
2.865,1.7
2.866,1.3
2.875,0.8
2.94,0.6
3.02,0.3
3.38,-0.1
4.085,-0.2
4.491,0.1
4.496,0.3
4.307,0.6
4.208,0.8
3.849,0.9
4.058,0.9
3.716,0.6
4.163,0.2
4.496,0.1
4.686,-0.1
4.503,-0.3
3.352,-0.4
3.177,-0.4
3.141,-0.6
3.053,-0.8
3.001,-1.1
2.925,-1.1
2.899,-1
2.891,-0.9
2.901,-0.5
2.962,-0.4
3.142,-0.4
4.205,-0.3
4.526,-0.4
4.819,-0.4
5.072,-0.2
4.957,0.2
3.278,0.1
3.192,0.2
4.406,0.1
4.459,0
3.757,-0.1
4.765,-0.1
5,-0.2
4.475,-0.3
3.257,-0.2
3.086,-0.4
3.033,-0.4
2.983,-0.3
2.899,0.5
2.903,0.7
2.873,0.6
2.86,0.5
2.864,0.6
2.915,0.5
2.988,0.5
3.472,0.5
4.242,0.3
3.792,0.5
3.797,0.2
3.831,-0.3
3.285,-1
3.27,-1.7
3.502,-1.8
3.836,-2
4.068,-1.8
4.488,-1.3
4.763,-1.1
4.549,-0.6
3.331,-0.4
3.2,-0.6
3.153,-0.7
3.084,-0.5
3.006,-0.3
3,-0.1
2.97,-0.1
2.96,0
2.968,-0.1
3.026,-0.2
3.358,0
4.835,0
4.722,-0.1
4.831,-0.2
4.927,-0.3
4.903,-0.3
4.202,-0.2
3.472,-0.2
4.025,0.1
4.813,0.2
4.436,0.5
4.708,0.6
5.008,0.6
4.831,0.6
3.411,0.7
3.2,0.8
3.136,0.9
3.099,1
3.068,0.8
3.084,0.8
3.038,0.9
3.014,0.9
3.003,0.8
3.021,0.7
3.04,0.6
3.074,0.7
3.106,0.8
3.154,0.7
3.239,0.7
3.302,0.8
3.311,0.9
3.271,0.9
3.255,0.9
3.236,0.8
3.279,0.8
3.367,0.7
3.437,0.7
3.398,0.5
3.366,0.8
3.265,0.7
3.194,0.2
3.145,0.5
3.09,0.4
3.1,0.3
3.085,0.3
3.064,0.2
3.043,-0.2
3.047,-0.4
3.062,-0.7
3.09,-1.1
3.143,-1.4
3.139,-1.7
3.188,-1.9
3.216,-2.3
3.229,-2.6
3.21,-3
3.201,-3.3
3.191,-3.2
3.196,-3.2
3.28,-3.1
3.379,-2.9
3.373,-3.2
3.291,-4
3.193,-4.4
3.176,-4.4
3.125,-4.6
3.074,-4.8
3.059,-5.1
3.002,-4.9
2.982,-4.8
3.01,-4.3
3.092,-4.8
3.382,-5
4.202,-5.3
4.609,-5.3
4.628,-5.7
4.898,-6
4.65,-6.4
4.201,-6.2
3.501,-5.7
3.993,-5.6
4.328,-6.2
4.4,-6.8
4.444,-7.9
5.311,-8.3
4.994,-9.1
4.204,-10
3.331,-10.6
3.213,-11.1
3.162,-11.5
3.102,-11.8
3.111,-12.5
3.096,-12.5
3.09,-12.7
3.094,-12.7
3.143,-13.2
4.795,-13.4
4.976,-13.4
5.981,-13.4
5.513,-12.3
5.622,-10.8
4.97,-9
4.507,-8
4.049,-8.6
4.727,-8.6
4.699,-8.7
4.605,-9.5
4.729,-10.5
6.386,-11.2
6.1,-11.4
4.479,-11.5
3.789,-11.5
3.533,-11.6
3.304,-11.5
3.188,-11.2
3.154,-10.8
3.124,-11
3.116,-10.6
3.119,-10.4
3.177,-10.8
3.833,-11
5.001,-11.8
5.25,-11.7
6.751,-9.9
6.101,-7.6
5.747,-5.5
5.009,-4.1
4.501,-4.2
4.911,-3.9
4.676,-4.1
4.69,-5.9
5.149,-5.7
7.02,-7
7.019,-7.2
5.006,-8.2
4.374,-9.1
4.05,-9.1
3.552,-8.8
3.317,-9.2
3.249,-8.9
3.234,-10.5
3.225,-10.5
3.237,-11.4
3.324,-12.1
4.199,-12.7
5.012,-12.5
5.717,-11.3
6.542,-10.1
6.491,-9.2
6.467,-8.4
5.114,-7.7
5.019,-6.3
5.583,-6.4
5.072,-6.8
5,-7.7
5.713,-8
6.874,-8.5
6.204,-8.5
4.535,-8.4
3.955,-8
3.66,-8.7
3.358,-8.7
3.263,-8.3
3.308,-8.1
3.267,-8
3.243,-7.9
3.231,-8.2
3.255,-8.3
3.834,-8.4
4.708,-8.1
5.305,-8.7
5.896,-8.2
5.305,-8.3
5.305,-7.7
4.442,-7.5
4.163,-7.1
4.135,-6.8
4.702,-6.5
4.7,-6.9
4.71,-7
5.301,-7.5
4.815,-6.8
3.831,-6.2
3.346,-6.3
3.32,-6.4
3.285,-6
3.211,-6
3.203,-6.1
3.17,-5.8
3.142,-6
3.126,-6.6
3.135,-7.2
3.166,-7.1
3.187,-6.9
3.203,-6.8
3.219,-6.3
3.275,-5.7
3.294,-4.6
3.261,-3.7
3.23,-3.3
3.213,-3
3.201,-3.1
3.286,-3.1
3.595,-3.1
3.836,-3.2
3.712,-3.2
3.297,-3.1
3.25,-3.2
3.246,-3.3
3.22,-3.4
3.186,-3.5
3.143,-3.9
3.106,-3.8
3.04,-3.6
3.041,-3.5
2.978,-3.4
2.99,-3.2
3.036,-3.1
3.099,-3.4
3.169,-3.2
3.229,-2.5
3.257,-1.7
3.25,-1.4
3.157,-0.6
3.096,-0.1
3.091,-0.1
3.127,-0.5
3.214,-1.1
3.356,-1.5
3.367,-1.8
3.34,-1.8
3.292,-1.8
3.232,-1.7
3.239,-1.6
3.135,-1.4
2.883,-1.2
2.968,-1.1
3.037,-1.2
2.983,-1.3
3.076,-1.1
3.222,-0.7
3.658,-0.7
3.836,-0.3
4.018,0.4
3.816,1.3
3.592,2.9
3.384,3.9
3.355,4.6
3.348,5.1
3.336,5.1
3.316,4.8
3.36,4.3
3.439,3.8
3.416,3.4
3.351,3.2
3.312,3.5
3.284,3.4
3.219,3.6
3.151,3.6
3.049,3.9
3.003,4.7
3.01,4.4
3.014,3.7
3.062,3.6
3.166,3.3
3.305,2.8
3.619,3
3.804,4.2
3.815,5.3
3.686,6.5
3.386,7.1
3.337,7.1
3.465,7.2
3.596,6.3
3.574,5
3.852,4.6
4.786,3.5
5.169,3.8
3.649,3.9
3.384,2.7
3.491,1.6
3.304,1.1
3.217,1.8
3.211,0
3.221,-0.2
3.232,-1.7
3.244,-2
3.392,-2.5
5.079,-2.5
6.102,-2.8
6.148,-2
6.332,0.2
5.93,1.4
5.569,2.1
3.966,2.8
3.735,1.6
3.808,0.5
4.413,0.2
4.302,0.3
4.908,0.1
5.916,0.4
6.205,1.3
4.381,0.9
3.807,1.1
3.528,0.8
3.245,0.4
3.138,0.4
3.05,0.4
3.033,0.3
3.024,0.4
3.05,0.5
3.055,0.6
3.255,-0.2
3.614,0.1
4.182,0.3
4.404,0.6
4.234,1
4.114,1.2
3.36,1
3.195,1.1
3.533,1.2
3.788,1.5
3.785,1.2
4.113,1.2
4.218,1.3
4.432,1.4
3.594,1.3
3.157,1.1
3.13,0.9
3.093,0.8
3.01,0.9
2.942,1.2
2.863,1.3
2.809,1.3
2.845,1.4
3,1.4
3.161,1.2
3.77,1.3
3.902,1.3
3.79,1.5
3.775,1.6
3.775,1.7
3.218,2.2
3.204,2.1
3.2,2.1
3.204,1.9
3.16,1.9
3.302,1.9
3.464,2
3.411,2.1
3.181,2.3
3.11,2.8
3.085,2.5
3.082,2.1
3.047,1.3
3.01,0.8
3.001,0.5
2.954,0.5
2.986,0.3
3.004,0
3.025,-0.1
3.016,-0.4
3.05,-0.4
3.077,0.7
3.109,1.8
3.133,3.7
3.109,5.5
3.078,6.4
3.058,6.1
3.026,5.8
3.012,4.9
3.04,2.9
3.199,2.9
3.117,2.6
3.067,2.4
3.006,2.2
2.97,2.1
2.891,1.8
2.564,1.8
2.351,1.3
2.174,1.4
2.1,1.2
1.999,1.7
1.997,1.8
2.13,1.6
2.133,1.2
2.193,1.9
2.547,2.2
2.959,2.6
2.982,3.1
3.067,3.6
3.017,3.8
3.044,3.8
3.051,3.8
3.034,3.1
3.079,2.6
3.149,2.6
3.162,2.2
3.125,2.2
3.086,2.5
3.058,2.7
2.945,2.6
2.674,3.2
2.32,3.7
2.26,3.5
2.212,3
2.272,2.5
2.438,2.2
3.56,1.9
4.729,1.7
5.103,0.1
5.105,-0.3
5.1,0
4.384,0.3
3.609,0.2
3.574,-0.1
3.771,-0.3
4.205,-0.4
3.794,-0.7
3.922,-0.9
5.555,-0.9
5.396,-1
3.626,-1.1
3.104,-1
2.955,-1.1
2.779,-1.1
2.541,-1.2
2.481,-1.2
2.344,-1.2
2.318,-1.2
2.326,-1.1
2.505,-1.3
3.285,-1.6
4.041,-2
4.314,-1.9
4.504,-1.8
